Type,FMQ,P,Ti,Y,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Ce_div_Ce_asterisk,Eu_div_Eu_asterisk,Th_div_U,U_div_Yb
0,1.39,,30.8,1048,5.28,0.07,32.05,0.16,1.64,3.85,1.57,27.02,6.94,51.75,39,254,41.7,304.9,64.74,23603.55,0.72,,167.1,92.42,309.69,0.15,1.81,0.3
0,0.87,,43.33,2282,5.65,0.15,40.65,0.42,4.41,8.84,3.93,63.74,13.88,121.7,107.1,617.2,82.66,530.2,118,22873.44,0.87,,490,190.8,160.55,0.17,2.57,0.36
0,1.03,,37.79,2671,3.9,1.01,49.34,0.91,7.14,10.9,2.67,85.64,16.22,130.8,86.74,599.3,97.1,571.4,106.9,17332.73,1.03,,724.9,268.4,51.63,0.09,2.7,0.47
0,0.53,,32.06,2205,6.01,0.14,36.08,0.51,8.05,26.04,5.14,64.76,13.98,326.1,181.6,720.1,77.45,792.3,267,16915.52,0.51,,748.8,301.2,134.51,0.13,2.49,0.38
0,1.35,,12.57,1140,2.42,0.02,21.84,0.17,2.65,5.07,2.01,24.66,8.28,103.6,39.98,210.4,44.13,428.3,76.7,9331.18,0.5,,129.9,109,372.95,0.18,1.19,0.25
0,2.16,,9.88,1167,5.54,0.36,39.56,0.13,1.19,3.35,0.99,21.38,6.82,91.24,40.17,195.2,43.39,452.5,84.32,9710.23,1.26,,186.2,179.5,183.52,0.12,1.04,0.4
0,-0.39,,27.36,1258,3.06,1.32,25.8,1.08,13.98,9.1,0.84,37.73,11.76,121.1,34.77,221,39.29,464.3,48.8,6701.59,1.03,,510.8,522.2,21.63,0.05,0.98,1.12
0,-1.6,,34.71,1639,3.31,0.11,13.61,0.64,7.38,11.86,0.68,49.63,13.02,155,57.39,238.6,48.63,467.6,84.1,7926.93,1.09,,535.7,459.1,50.42,0.03,1.17,0.98
0,-1.04,,24.06,1357,3.56,0.18,17.77,0.75,8.91,16.02,0.53,47.37,14.44,163.1,53.98,280.5,49.92,489,98.8,9765.35,1.3,,673.3,597.7,48.2,0.02,1.13,1.22
0,-1.57,,18.08,1441,3.67,0.02,12.19,0.24,6.24,10.06,0.55,39.96,14.44,138.6,50.1,194.5,44.18,511.4,60.16,7998.16,1,,432.2,682.8,196.8,0.03,0.63,1.34
